FUNCTION_ID,FUNCTION_NAME,FUNCTION_TYPE,GO_ID,GO_TYPE,UMLS_ID,UMLS_TYPE,PATHWAY_TYPE,REACTOME,PUBCHEM_PATHWAY_ID,PATHBANK,PANTHER,BIOCYC,WIKIPATHWAYS,SMPDB,PATHWAY_INTERACTION_DATABASE,KEGG,PLANT_REACTOME,PLANTCYC,PATHWAY_COMMON,PANTHER_PATHWAY,CHEMFONT,PHARMGKB,LIPID_MAPS,BIOCARTA,NETPATH
61,absorption,biological_process,,Unknown,,Unknown,biological_process,,,,,,,,,,,,,,PTW_0111228,,,,
62,acat activity,molecular_function,GO:0004313| GO:0034736| GO:0004772,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
63,accumulation,molecular_function,,Unknown,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
64,acetaldehyde dehydrogenase (acetylating) activity,molecular_function,GO:0008774,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
65,acetate biosynthetic process,biological_process,GO:0019413,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
66,acetate kinase activity,molecular_function,GO:0008776,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
67,acetoin biosynthetic process,biological_process,GO:0045151,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
68,acetolactate synthase activity,molecular_function,GO:0003984,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
69,acetyl-coa c-acyltransferase activity,molecular_function,GO:0003988,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
70,acetyl-coa carboxylase activity,molecular_function,GO:0003989,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
71,acetylation,biological_process|molecular_function,,Unknown,C0001038,molecular_function,biological_process,R-GGA-156582| R-HSA-156582,11141| 1182106| 13441| 16044| 1716| 19140| 21801| 6327| 9354,,,,,,,,,,,,,,,,
72,acetylcholine binding,molecular_function,GO:0042166,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
73,acetylcholine receptor binding,molecular_function,GO:0033130,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
74,acetylcholine secretion,biological_process,GO:0061526,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
75,acetylcholine transport,biological_process,GO:0015870,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
76,acetylcholine-gated monoatomic cation-selective channel activity,molecular_function,GO:0022848,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
77,acetylcholinesterase activity,molecular_function,GO:0003990,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
78,acetyltransferase activity,molecular_function,GO:0016407,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
79,acid phosphatase activity,molecular_function,GO:0003993,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
80,acid secretion,biological_process,GO:0046717,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
81,acid-base equilibrium,biological_process,,Unknown,C0001117,biological_process,Unknown,,,,,,,,,,,,,,,,,,
82,acidemia,biological_process,,Unknown,C0268030,biological_process,Unknown,,,,,,,,,,,,,,,,,,
83,acidic ph,biological_process,,Unknown,,Unknown,biological_process,,40669,,,,,,acidic pH,,,,Pathway_6551c974265365a6b9722cb4defa546e,,,,,,
84,acidosis,biological_process,,Unknown,C0001122,biological_process,Unknown,,,,,,,,,,,,,,,,,,
85,acireductone dioxygenase [iron(ii)-requiring] activity,molecular_function,GO:0010309,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
86,aconitate hydratase activity,molecular_function,GO:0003994| GO:0052633| GO:0047780,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
87,acoustic evoked brain stem potentials,biological_process,,Unknown,C0079319,biological_process,Unknown,,,,,,,,,,,,,,,,,,
88,acrosin activity,molecular_function,GO:0004284,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
89,actin binding,molecular_function,GO:0003779,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
90,actin crosslink formation,biological_process,GO:0051764,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
91,actin cytoskeleton reorganization,biological_process,GO:0031532,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
92,actin filament binding,molecular_function,GO:0051015,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
93,actin filament depolymerization,biological_process,GO:0030042,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
94,actin filament polymerization,biological_process|molecular_function,GO:0033392| GO:0030041,biological_process|molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
95,actin nucleation,biological_process,GO:0045010,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
96,actin stress fibers,biological_process,,Unknown,,Unknown,biological_process,,,,,,,,,,,,Pathway_35575ceca31608fd7da234a93756b5f7,,,,,,
97,action potential,biological_process,GO:0001508,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
98,action potential initiation,biological_process,GO:0099610,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
99,activated t cell autonomous cell death,biological_process,GO:0070238,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
100,activated t cell proliferation,biological_process,GO:0050798,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
101,activating egfr gene mutation,molecular_function,,Unknown,C2984891,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
102,activation,biological_process,,Unknown,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
103,activation of adenylate cyclase activity,biological_process,GO:0007190,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
104,activation of downstream effectors,biological_process,,Unknown,,Unknown,biological_process,R-DME-450736,8619,,,,,,,,,,,,,,,,
105,activation of gtpase activity,biological_process,GO:0090630,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
106,activation of membrane attack complex,biological_process,GO:0001905,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
107,activation of nicotinic acetylcholine receptors,biological_process,,Unknown,,Unknown,biological_process,R-GGA-629602,11684| 14389| 16203| 2018| 20296| 21017| 22161| 2555| 4504| 5724| 8142| 9017,,,,,,,,,,,,,,,,
108,activation of phospholipase c activity,biological_process,GO:0007202,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
109,activation of pkb,biological_process,,Unknown,,Unknown,biological_process,R-GGA-165158| R-HSA-165158,11357| 13960| 15153| 15435| 16615| 17683| 18785| 19689| 20604| 2178| 23078| 2948| 4179| 489| 5297| 7263| 7929| 9864,,,,,,,,,,,,,,,,
110,activation of protein kinase activity,biological_process,GO:0032147,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
111,activation of protein kinase c activity,biological_process,GO:1990051,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
112,activation of rac1,biological_process,,Unknown,,Unknown,biological_process,R-HSA-428540,10719,,,,,,,,,,,,,,,,
113,"activation, metabolic",molecular_function,,Unknown,C0025513,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
114,activation-induced cell death of t cells,biological_process,GO:0006924| GO:0071888| GO:0071948,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
115,activator,molecular_function,,Unknown,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
116,active transmembrane transporter activity,molecular_function,GO:0022804,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
117,activin binding,molecular_function,GO:0048185,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
118,activity,molecular_function,,Unknown,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
119,acute inflammatory response,biological_process,GO:0002526,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
120,acute myeloid leukemia,biological_process,,Unknown,,Unknown,biological_process,,1362504,,,,WP5293,,,hsa05221,,,,,,,,,
121,acyl glucuronidation,biological_process,GO:0036236,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
122,acyl-coa binding,molecular_function,GO:0120227,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
123,acyl-coa oxidase activity,molecular_function,GO:0003997,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
124,acyltransferase activity,molecular_function,GO:0016746,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
125,adaptation,biological_process,,Unknown,C0392673| C0000934,biological_process,Unknown,,,,,,,,,,,,,,,,,,
126,"adaptation, physiological",biological_process,,Unknown,C0001400,biological_process,Unknown,,,,,,,,,,,,,,,,,,
127,adaptive immune response,biological_process,GO:0002250,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
128,adaptive immunity,biological_process,,Unknown,C0678209,biological_process,Unknown,,,,,,,,,,,,,,,,,,
129,adduct,molecular_function,,Unknown,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
130,adenine binding,molecular_function,GO:0002055,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
131,adenosine biosynthetic process,biological_process,GO:0046086,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
132,adenosine deaminase inhibitors [moa],molecular_function,,Unknown,C1373051,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
133,adenosine kinase activity,molecular_function,GO:0004001,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
134,adenosine metabolic process,biological_process,GO:0046085,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
135,adenosine receptor agonists [moa],molecular_function,,Unknown,C2917194,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
136,adenosine receptor antagonists [moa],molecular_function,,Unknown,C2917195,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
137,adenosine receptor binding,molecular_function,GO:0031685,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
138,adenosine transport,biological_process,GO:0032238,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
139,adenosine triphosphate-citrate lyase inhibitors [moa],molecular_function,,Unknown,C5434823,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
140,adenosylcobinamide-gdp ribazoletransferase activity,molecular_function,GO:0051073| GO:0008818,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
141,adenosylhomocysteinase activity,molecular_function,GO:0004013,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
142,adenosylmethionine decarboxylase activity,molecular_function,GO:0004014,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
143,adenylate cyclase activity,molecular_function,GO:0004016,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
144,adenylate kinase activity,molecular_function,GO:0004017,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
145,adenylyl-sulfate reductase activity,molecular_function,GO:0009973,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
146,adhesion,biological_process,,Unknown,,Unknown,biological_process,,,,,,,,,,,,Pathway_87ff5830f91104830db8782ce44fb1ad,,,,,,
147,adipogenesis,biological_process,GO:0060612| GO:0045444,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
148,adiponectin secretion,biological_process,GO:0070162,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
149,adipose tissue development,biological_process,GO:0060612,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
150,adipsin activity,molecular_function,GO:0003817,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
151,adjuvanticity,molecular_function,,Unknown,C1510811,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
152,admet,biological_process,,Unknown,C5392180,biological_process,Unknown,,,,,,,,,,,,,,,,,,
153,adp binding,molecular_function,GO:0043531,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
154,adp biosynthetic process,biological_process,GO:0006172,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
155,adp-d-ribose binding,molecular_function,GO:0072570,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
156,adp-ribosylation,molecular_function,,Unknown,C0596043,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
157,adp-ribosylation factor,biological_process,,Unknown,,Unknown,biological_process,,,,,,,,,,,,,,,,,arappathway,
158,adp-ribosyltransferase activity,molecular_function,GO:0030701| GO:0106274| GO:0047286,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
159,adrenal hypoplasia,biological_process,,Unknown,C1846223,biological_process,Unknown,,,,,,,,,,,,,,,,,,
160,adrenergic agonists [moa],molecular_function,,Unknown,C2757025,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
161,adrenergic alpha-antagonists [moa],molecular_function,,Unknown,C2756989,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
162,adrenergic antagonists [moa],molecular_function,,Unknown,C2757018,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
163,adrenergic receptor activity,molecular_function,GO:0004935,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
164,adrenergic receptor binding,molecular_function,GO:0031690,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
165,adrenoceptors,biological_process,,Unknown,,Unknown,biological_process,R-GGA-390696| R-HSA-390696,11429| 14027| 16682| 19755| 20671| 2244| 23144| 2993| 4248| 5366| 7969| 9929,,,,,,,,,,,,,,,,
166,adrenocorticotropin activity,molecular_function,GO:0017043,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
167,advanced glycation end-product receptor activity,molecular_function,GO:0050785,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
168,adverse event,biological_process,,Unknown,C0877248,biological_process,Unknown,,,,,,,,,,,,,,,,,,
169,adverse reaction to antitussives,biological_process,,Unknown,C0261908,biological_process,Unknown,,,,,,,,,,,,,,,,,,
170,adverse reaction to drug,biological_process,,Unknown,C0041755,biological_process,Unknown,,,,,,,,,,,,,,,,,,
171,adverse reactions,biological_process,,Unknown,C0559546| C0041755,biological_process,Unknown,,,,,,,,,,,,,,,,,,
172,aerobic glycolysis,biological_process,,Unknown,,Unknown,biological_process,,1295551,,,,WP4629,,,,,,,,,,,,
173,affinity,molecular_function,,Unknown,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
174,african trypanosomiasis,biological_process,,Unknown,,Unknown,Unknown,,,,,,,,,hsa05143,,,,,,,,,
175,age-related resistance,biological_process,GO:0090644,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
176,agglutination,biological_process,GO:0007157| GO:0000752,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
177,aging,biological_process,GO:0007568,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
178,agonism,molecular_function,,Unknown,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
179,agonist,molecular_function,,Unknown,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
180,agonistic activity,molecular_function,,Unknown,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
181,airway remodeling,biological_process,,Unknown,C2717792,biological_process,Unknown,,,,,,,,,,,,,,,,,,
182,airway resistance,biological_process,,Unknown,C4048282,biological_process,Unknown,,,,,,,,,,,,,,,,,,
183,akt signaling pathway,biological_process|molecular_function,,Unknown,C1515844,molecular_function,biological_process,,,,,,,,,,,,,,,,,aktpathway,
184,akt(pkb)-mtor signaling,biological_process,,Unknown,,Unknown,biological_process,,,,,,,,,,,,Pathway_92e88fceb567112b27bb9275060ec1c5,,,,,,
185,alanine dehydrogenase activity,molecular_function,GO:0000286,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
186,alanine racemase activity,molecular_function,GO:0008784,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
187,alanine-glyoxylate transaminase activity,molecular_function,GO:0008453,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
188,alanopine dehydrogenase activity,molecular_function,GO:0047636| GO:0004022,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
189,alcohol biosynthetic process,biological_process,GO:0046165,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
190,alcohol dehydrogenase (nad+) activity,molecular_function,GO:0004022,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
191,alcohol metabolic process,biological_process,GO:0006066,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
192,alcohol sulfotransferase activity,molecular_function,GO:0004027,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
193,alcoholism,molecular_function,,Unknown,,Unknown,Unknown,,,,,,,,,hsa05034,,,,,,,,,
194,aldehyde biosynthetic process,biological_process,GO:0046184,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
195,aldehyde dehydrogenase (fad-independent) activity,molecular_function,GO:0033727,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
196,aldehyde dehydrogenase [nad(p)+] activity,molecular_function,GO:0004030,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
197,aldehyde ferredoxin oxidoreductase activity,molecular_function,GO:0033726,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
198,aldehyde oxidase activity,molecular_function,GO:0004031,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
199,alditol:nadp+ 1-oxidoreductase activity,molecular_function,GO:0004032,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
200,aldosterone antagonists [moa],molecular_function,,Unknown,C2757004,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
201,aldosterone secretion,biological_process,GO:0035932,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
202,alk np_004295.2:p.f1174c,molecular_function,,Unknown,C4687522,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
203,alk np_004295.2:p.f1174l,molecular_function,,Unknown,C4687518,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
204,alk np_004295.2:p.f1174v,molecular_function,,Unknown,C4687524,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
205,alk np_004295.2:p.i1171n,molecular_function,,Unknown,C4528654,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
206,alk np_004295.2:p.l1196m,molecular_function,,Unknown,C4524673,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
207,alk np_004295.2:p.r1275q,molecular_function,,Unknown,C4687529,molecular_function,Unknown,,,,,,,,,,,,,,,,,,
208,alkaline phosphatase activity,molecular_function,GO:0004035,molecular_function,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
209,alkalinization,biological_process,,Unknown,,Unknown,biological_process,,,,,,,,,,,,,,PTW_0111182,,,,
210,alkaloid biosynthetic process,biological_process,GO:0009821,biological_process,,Unknown,Unknown,,,,,,,,,,,,,,,,,,
