FUNCTION_ID,FUNCTION_NAME,FUNCTION_TYPE,GO_ID,GO_TYPE,UMLS_ID,UMLS_TYPE,KEGG_ID
151,adjuvanticity,molecular_function,,Unknown,C1510811,molecular_function,
152,admet,biological_process,,Unknown,C5392180,biological_process,
153,adp binding,molecular_function,GO:0043531,molecular_function,,Unknown,
154,adp biosynthetic process,biological_process,GO:0006172,biological_process,,Unknown,
155,adp-d-ribose binding,molecular_function,GO:0072570,molecular_function,,Unknown,
156,adp-ribosylation,molecular_function,,Unknown,C0596043,molecular_function,
158,adp-ribosyltransferase activity,molecular_function,GO:0030701| GO:0106274| GO:0047286,molecular_function,,Unknown,
159,adrenal hypoplasia,biological_process,,Unknown,C1846223,biological_process,
160,adrenergic agonists [moa],molecular_function,,Unknown,C2757025,molecular_function,
161,adrenergic alpha-antagonists [moa],molecular_function,,Unknown,C2756989,molecular_function,
162,adrenergic antagonists [moa],molecular_function,,Unknown,C2757018,molecular_function,
163,adrenergic receptor activity,molecular_function,GO:0004935,molecular_function,,Unknown,
164,adrenergic receptor binding,molecular_function,GO:0031690,molecular_function,,Unknown,
166,adrenocorticotropin activity,molecular_function,GO:0017043,molecular_function,,Unknown,
167,advanced glycation end-product receptor activity,molecular_function,GO:0050785,molecular_function,,Unknown,
168,adverse event,biological_process,,Unknown,C0877248,biological_process,
169,adverse reaction to antitussives,biological_process,,Unknown,C0261908,biological_process,
170,adverse reaction to drug,biological_process,,Unknown,C0041755,biological_process,
171,adverse reactions,biological_process,,Unknown,C0559546| C0041755,biological_process,
174,african trypanosomiasis,biological_process,,Unknown,,Unknown,hsa05143
175,age-related resistance,biological_process,GO:0090644,biological_process,,Unknown,
176,agglutination,biological_process,GO:0007157| GO:0000752,biological_process,,Unknown,
177,aging,biological_process,GO:0007568,biological_process,,Unknown,
181,airway remodeling,biological_process,,Unknown,C2717792,biological_process,
182,airway resistance,biological_process,,Unknown,C4048282,biological_process,
183,akt signaling pathway,biological_process|molecular_function,,Unknown,C1515844,molecular_function,
185,alanine dehydrogenase activity,molecular_function,GO:0000286,molecular_function,,Unknown,
186,alanine racemase activity,molecular_function,GO:0008784,molecular_function,,Unknown,
187,alanine-glyoxylate transaminase activity,molecular_function,GO:0008453,molecular_function,,Unknown,
188,alanopine dehydrogenase activity,molecular_function,GO:0047636| GO:0004022,molecular_function,,Unknown,
189,alcohol biosynthetic process,biological_process,GO:0046165,biological_process,,Unknown,
190,alcohol dehydrogenase (nad+) activity,molecular_function,GO:0004022,molecular_function,,Unknown,
191,alcohol metabolic process,biological_process,GO:0006066,biological_process,,Unknown,
193,alcoholism,molecular_function,GO:0004027,Unknown,,Unknown,hsa05034
194,aldehyde biosynthetic process,biological_process,GO:0046184,biological_process,,Unknown,
195,aldehyde dehydrogenase (fad-independent) activity,molecular_function,GO:0033727,molecular_function,,Unknown,
196,aldehyde dehydrogenase [nad(p)+] activity,molecular_function,GO:0004030,molecular_function,,Unknown,
197,aldehyde ferredoxin oxidoreductase activity,molecular_function,GO:0033726,molecular_function,,Unknown,
198,aldehyde oxidase activity,molecular_function,GO:0004031,molecular_function,,Unknown,
199,alditol:nadp+ 1-oxidoreductase activity,molecular_function,GO:0004032,molecular_function,,Unknown,
200,aldosterone antagonists [moa],molecular_function,,Unknown,C2757004,molecular_function,
201,aldosterone secretion,biological_process,GO:0035932,biological_process,,Unknown,
202,alk np_004295.2:p.f1174c,molecular_function,,Unknown,C4687522,molecular_function,
203,alk np_004295.2:p.f1174l,molecular_function,,Unknown,C4687518,molecular_function,
204,alk np_004295.2:p.f1174v,molecular_function,,Unknown,C4687524,molecular_function,
205,alk np_004295.2:p.i1171n,molecular_function,,Unknown,C4528654,molecular_function,
206,alk np_004295.2:p.l1196m,molecular_function,,Unknown,C4524673,molecular_function,
207,alk np_004295.2:p.r1275q,molecular_function,,Unknown,C4687529,molecular_function,
208,alkaline phosphatase activity,molecular_function,GO:0004035,molecular_function,,Unknown,
210,alkaloid biosynthetic process,biological_process,GO:0009821,biological_process,,Unknown,
211,alkane 1-monooxygenase activity,molecular_function,GO:0018685,molecular_function,,Unknown,
212,alkyl substitution,molecular_function,,Unknown,C0598140,molecular_function,
213,alkylating activity [moa],molecular_function,,Unknown,C2756975,molecular_function,
215,alkylglycerophosphoethanolamine phosphodiesterase activity,molecular_function,GO:0047391,molecular_function,,Unknown,
216,allene oxide synthase activity,molecular_function,GO:0009978,molecular_function,,Unknown,
217,allergic inflammation,biological_process,,Unknown,C0021375,biological_process,
218,allergic reaction,biological_process,,Unknown,C1527304,biological_process,
225,allosteric regulation,molecular_function,,Unknown,C0002145,molecular_function,
226,alpha glucosidase inhibitors [moa],molecular_function,,Unknown,C2756986,molecular_function,
227,"alpha-1,3-mannosylglycoprotein 2-beta-n-acetylglucosaminyltransferase activity",molecular_function,GO:0003827,molecular_function,,Unknown,
228,"alpha-1,4-glucosidase activity",molecular_function,GO:0004558,molecular_function,,Unknown,
229,alpha-2a adrenergic receptor binding,molecular_function,GO:0031694,molecular_function,,Unknown,
230,alpha-2b adrenergic receptor binding,molecular_function,GO:0031695,molecular_function,,Unknown,
231,alpha-2c adrenergic receptor binding,molecular_function,GO:0031696,molecular_function,,Unknown,
232,alpha-amylase activity,molecular_function,GO:0004556,molecular_function,,Unknown,
233,alpha-galactosidase activity,molecular_function,GO:0004557,molecular_function,,Unknown,
234,alpha-glucosidase activity,molecular_function,GO:0090599,molecular_function,,Unknown,
235,alpha-linolenic acid metabolic process,biological_process,GO:0036109,biological_process,,Unknown,
236,alpha-mannosidase activity,molecular_function,GO:0004559,molecular_function,,Unknown,
237,alpha-n-acetylglucosaminidase activity,molecular_function,GO:0004561,molecular_function,,Unknown,
238,alpha-tubulin acetylation,biological_process,GO:0071929,biological_process,,Unknown,
239,alpha1-adrenergic receptor activity,molecular_function,GO:0004937,molecular_function,,Unknown,
240,alpha2-adrenergic receptor activity,molecular_function,GO:0004938,molecular_function,,Unknown,
241,alternation,biological_process,,Unknown,C0919661,biological_process,
242,alternative splicing,molecular_function,,Unknown,C0002345,molecular_function,
243,alveolar ventilation function,biological_process,GO:0045333| GO:0009060,biological_process,,Unknown,
244,alzheimer disease,biological_process,,Unknown,,Unknown,hsa05010
245,amidase activity,molecular_function,GO:0004040,molecular_function,,Unknown,
246,amide binding,molecular_function,GO:0033218,molecular_function,,Unknown,
247,amine binding,molecular_function,GO:0043176,Unknown,,Unknown,
248,amine biosynthetic process,biological_process,GO:0009309,biological_process,,Unknown,
249,amino acid binding,molecular_function,GO:0016597,molecular_function,,Unknown,
250,amino acid biosynthetic process,biological_process,GO:0008652,biological_process,,Unknown,
251,amino acid export across plasma membrane,biological_process,GO:0032973,biological_process,,Unknown,
252,amino acid import,biological_process,GO:0043090,biological_process,,Unknown,
253,amino acid metabolic process,biological_process,GO:0006520,biological_process,,Unknown,
254,amino acid substitution,molecular_function,,Unknown,C0525038,molecular_function,
255,amino acid transport,biological_process,GO:0006865,biological_process,,Unknown,
257,aminoacylation,molecular_function,,Unknown,C1450029,molecular_function,
258,aminocarboxymuconate-semialdehyde decarboxylase activity,molecular_function,GO:0001760,molecular_function,,Unknown,
260,aminomethyltransferase activity,molecular_function,GO:0004047,molecular_function,,Unknown,
261,aminopeptidase activity,molecular_function,GO:0004177,molecular_function,,Unknown,
262,aminopeptidase n activity,molecular_function,GO:0004179,molecular_function,,Unknown,
263,ammonia oxidation,biological_process,GO:0019329,biological_process,,Unknown,
264,amp binding,molecular_function,GO:0016208,molecular_function,,Unknown,
265,amp biosynthetic process,biological_process,GO:0006167,biological_process,,Unknown,
266,amp deaminase activity,molecular_function,GO:0003876,molecular_function,,Unknown,
267,amp-activated protein kinase activity,molecular_function,GO:0004679,molecular_function,,Unknown,
268,ampa glutamate receptor activity,molecular_function,GO:0004971,molecular_function,,Unknown,
270,ampk signaling pathway,biological_process,,Unknown,,Unknown,hsa04152
271,amylase activity,molecular_function,GO:0016160,molecular_function,,Unknown,
272,amylase inhibitors [moa],molecular_function,,Unknown,C0597832,molecular_function,
273,amylase secretion,biological_process,GO:0036394,biological_process,,Unknown,
274,amyloid deposition,biological_process,,Unknown,C0011560,biological_process,
275,amyloid fibril formation,biological_process,GO:1990000,biological_process,,Unknown,
276,amyloid precursor protein metabolic process,biological_process,GO:0042982,biological_process,,Unknown,
277,amyloid-beta binding,molecular_function,GO:0001540,molecular_function,,Unknown,
278,amyloid-beta formation,biological_process,GO:0034205,biological_process,,Unknown,
279,amyloidogenesis,biological_process,,Unknown,C1706803,biological_process,
282,anabolic effect,biological_process,,Unknown,C3179309,biological_process,
283,anaerobic respiration,biological_process,GO:0009061,biological_process,,Unknown,
284,anagen,biological_process,GO:0042640,biological_process,,Unknown,
285,analgesia [pe],biological_process,,Unknown,C2825040,biological_process,
288,anaphase,biological_process,GO:0051322,biological_process,,Unknown,
289,anaphase-promoting complex binding,molecular_function,GO:0010997,molecular_function,,Unknown,
290,anaphase-promoting complex-dependent catabolic process,biological_process,GO:0031145,biological_process,,Unknown,
291,anaphylactic shock,biological_process,,Unknown,C4316895,biological_process,
292,anaphylactoid reaction,biological_process,,Unknown,C0340865| C4316895,Unknown,
293,anaphylaxis,biological_process,,Unknown,C0002792| C4316895,Unknown,
294,anatomical maturation,biological_process,,Unknown,C1254042,biological_process,
295,androgen binding,molecular_function,GO:0005497,molecular_function,,Unknown,
296,androgen biosynthetic process,biological_process,GO:0006702,biological_process,,Unknown,
297,androgen receptor agonists [moa],molecular_function,,Unknown,C1373097,molecular_function,
298,androgen receptor antagonists [moa],molecular_function,,Unknown,C1373082,molecular_function,
299,androsterone dehydrogenase (b-specific) activity,molecular_function,GO:0047042,molecular_function,,Unknown,
300,anesthetic effect,biological_process,,Unknown,C3179301,biological_process,
301,aneuploidy,biological_process,,Unknown,C0002938,biological_process,
302,aneurysm,biological_process,,Unknown,C0002940,biological_process,
303,angioedema,biological_process,,Unknown,C0002994,biological_process,
304,angiogenesis,biological_process,GO:0001525,biological_process,,Unknown,
305,angiogenesis effect,biological_process,,Unknown,C3179307,biological_process,
306,angiotensin 2 receptor antagonists [moa],molecular_function,,Unknown,C2757003,molecular_function,
307,angiotensin converting enzyme activity,molecular_function,GO:0004246,molecular_function,,Unknown,
308,angiotensin receptor binding,molecular_function,GO:0031701,molecular_function,,Unknown,
309,animal organ development,biological_process,GO:0048513,biological_process,,Unknown,
310,ank repeat domains,molecular_function,,Unknown,C1956127,molecular_function,
311,ankle edema (finding),biological_process,,Unknown,C0235439,biological_process,
312,ankyrin repeat,molecular_function,,Unknown,C0162527,molecular_function,
313,annealing activity,molecular_function,GO:0140666,molecular_function,,Unknown,
314,anoikis,biological_process,GO:0043276,biological_process,,Unknown,
315,anoxia,biological_process,,Unknown,C0003130,biological_process,
316,antacid effects,biological_process,,Unknown,C1383090,biological_process,
319,antagonist muscle action,biological_process,,Unknown,C0231491,biological_process,
320,anterograde transport,biological_process,,Unknown,C0598952,biological_process,
321,anthranilate phosphoribosyltransferase activity,molecular_function,GO:0004048,molecular_function,,Unknown,
323,anti-androgen effect,biological_process,,Unknown,C3179299,biological_process,
324,anti-angiogenesis effect,biological_process,,Unknown,C3179230,biological_process,
325,anti-anxiety effect,biological_process,,Unknown,C3179404,biological_process,
327,antibody affinity,molecular_function,,Unknown,C0003255,molecular_function,
328,antibody-dependent cellular cytotoxicity,biological_process,GO:0001788,biological_process,,Unknown,
329,antibody-dependent enhancement,molecular_function,,Unknown,C0282632,molecular_function,
330,anticarcinogenic effect,biological_process,,Unknown,C3178744,biological_process,
334,antiemetic effect,biological_process,,Unknown,C1516011,biological_process,
336,antigen binding,molecular_function,GO:0003823,molecular_function,,Unknown,
337,antigen processing,biological_process,,Unknown,C0206430,biological_process,
338,antigen processing and presentation,biological_process,GO:0019882,biological_process,,Unknown,
339,antigen-antibody reactions,molecular_function,,Unknown,C0003314,molecular_function,
341,antimicrobial effect,biological_process,,Unknown,C1516022,biological_process,
343,antimutagenic effect,biological_process,,Unknown,C3178743,biological_process,
344,antineoplastic therapy resistant gene mutation,molecular_function,,Unknown,C5708861,molecular_function,
345,antioxidant activity,molecular_function,GO:0016209,molecular_function,,Unknown,
346,antioxidant effect,biological_process,,Unknown,C3179302,biological_process,
347,antiporter activity,molecular_function,GO:0015297,molecular_function,,Unknown,
348,antipsychotic effect,biological_process,,Unknown,C3179403,biological_process,
350,antipyretic effect,biological_process,,Unknown,C3178748,biological_process,
353,antispasmodic effect,biological_process,,Unknown,C3179242,biological_process,
354,antitermination,molecular_function,,Unknown,C0599945,molecular_function,
356,antitumor response,biological_process,,Unknown,C1516031,biological_process,
359,antiviral response,biological_process,GO:0051607| GO:0009615,biological_process,,Unknown,
361,aorta constriction,biological_process,,Unknown,C0597891,biological_process,
362,apolysis,biological_process,GO:0018989,biological_process,,Unknown,
363,apoptosis,biological_process,GO:0097194| GO:0012501| GO:0006915,biological_process,,Unknown,
364,apoptotic cell clearance,biological_process,GO:0043277,biological_process,,Unknown,
365,apoptotic chromosome condensation,biological_process,GO:0030263,biological_process,,Unknown,
366,apoptotic dna fragmentation,biological_process,GO:0006309,biological_process,,Unknown,
367,apoptotic process,biological_process,GO:0006915,biological_process,,Unknown,
369,appetite suppression [pe],biological_process,,Unknown,C2825056,biological_process,
370,appressorium formation,biological_process,GO:0075016,biological_process,,Unknown,
371,arabinosyltransferase activity,molecular_function,GO:0052636,molecular_function,,Unknown,
372,arachidonate 15-lipoxygenase activity,molecular_function,GO:0050473,molecular_function,,Unknown,
373,arachidonate 5-lipoxygenase activity,molecular_function,GO:0004051,molecular_function,,Unknown,
374,arachidonic acid metabolic process,biological_process,GO:0019369,biological_process,,Unknown,
375,aralkylamine n-acetyltransferase activity,molecular_function,GO:0004059,molecular_function,,Unknown,
376,arginase activity,molecular_function,GO:0004053,molecular_function,,Unknown,
377,arginine binding,molecular_function,GO:0034618,molecular_function,,Unknown,
378,arginine n-succinyltransferase activity,molecular_function,GO:0008791,molecular_function,,Unknown,
379,aromatase activity,molecular_function,GO:0070330,molecular_function,,Unknown,
380,aromatase inhibitors [moa],molecular_function,,Unknown,C2757060,molecular_function,
381,aromatic hydroxylation [pk],molecular_function,,Unknown,C1373206,molecular_function,
382,arterial blood supply,biological_process,,Unknown,C0920762,biological_process,
383,arterial pulse pressure,biological_process,,Unknown,C0232108,biological_process,
384,arterial stiffness,biological_process,,Unknown,C0599949,biological_process,
385,arterial thrombosis,biological_process,,Unknown,C0151942,biological_process,
387,aryl hydrocarbon receptor agonists [moa],molecular_function,,Unknown,C5774141,molecular_function,
389,aryldialkylphosphatase activity,molecular_function,GO:0004063,molecular_function,,Unknown,
390,asexual reproduction,biological_process,GO:0019954,biological_process,,Unknown,
391,aspartate biosynthetic process,biological_process,GO:0006532,biological_process,,Unknown,
392,aspartate family amino acid biosynthetic process,biological_process,GO:0009067,biological_process,,Unknown,
393,aspartic-type endopeptidase activity,molecular_function,GO:0004190,molecular_function,,Unknown,
394,associated disease,biological_process,,Unknown,C0243083,biological_process,
396,astrocyte differentiation,biological_process,GO:0048708,biological_process,,Unknown,
397,ataxia as late effect of cerebrovascular disease,biological_process,,Unknown,C1135207,biological_process,
398,atherogenesis,biological_process,,Unknown,C1563937,biological_process,
400,atm signaling pathway,molecular_function,,Unknown,C1510698,molecular_function,
401,atopy,biological_process,,Unknown,C0392707,biological_process,
402,atp binding,molecular_function,GO:0005524,molecular_function,,Unknown,
403,atp biosynthetic process,biological_process,GO:0006754,biological_process,,Unknown,
404,atp export,biological_process,GO:1904669,biological_process,,Unknown,
405,atp generation from adp,biological_process,GO:0006757,biological_process,,Unknown,
406,atp hydrolysis,biological_process,GO:0006200,biological_process,,Unknown,
407,atp hydrolysis activity,molecular_function,GO:0016887,molecular_function,,Unknown,
408,atp metabolic process,biological_process,GO:0046034,biological_process,,Unknown,
409,atp synthase,molecular_function,GO:0016467| GO:0016468,molecular_function,,Unknown,
410,atp-dependent activity,molecular_function,GO:0140657,molecular_function,,Unknown,
411,"atp-dependent activity, acting on dna",molecular_function,GO:0008094,molecular_function,,Unknown,
412,"atp-dependent activity, acting on rna",molecular_function,GO:0008186,molecular_function,,Unknown,
414,atrial flutter,biological_process,,Unknown,C0004239,biological_process,
