ORGANISM_ID,ORGANISM_NAME,NCBI_TEXONOMY_ID
127,Gloeophyllum trabeum,104355
128,Hohenbuehelia grisea,104357
129,Lycia,104487
130,olive fly,104688
131,Arvicola amphibius,1047088
132,Zymoseptoria tritici,1047171
133,African swine fever virus,10497
134,Paramecium bursaria Chlorella virus 1,10506
135,Human adenovirus 2,10515
136,Human adenovirus 7,10519
137,Purpureocillium,1052105
138,Cyperus esculentus,1053340
139,unidentified adenovirus,10535
140,Aspergillus awamori,105351
141,Aciculata,105390
142,Zoanthus,105401
143,Lessonia <stramenopiles>,105411
144,Valsa mali,105487
145,Sandaracinus,1055688
146,Symploca,105591
147,Human papillomavirus,10566
148,Prunus tomentosa,105667
149,Alpinia nigra,105678
150,Epicoccum nigrum,105696
151,Mucor piriformis,105697
152,Grevillea robusta,105748
153,Aeromonas bestiarum,105751
154,Human papillomavirus type 11,10580
155,Crossosoma bigelovii,105808
156,Human papillomavirus type 1a,10583
157,Japanese honeysuckle,105884
158,Human papillomavirus type 58,10598
159,Rhodotorula bogoriensis,106002
160,Rhodotorula ingeniosa,106010
161,tickbush,106041
162,burgan,106044
163,Rhodobacter capsulatus,1061
164,Comasteridae,106121
165,Thai rosewood,106130
166,BK polyomavirus,10629
167,Rhodobacter sphaeroides,1063
168,JC polyomavirus,10632
169,Simian virus 40,10633
170,Murine polyomavirus,10634
171,Carnation etched ring virus,10640
172,Figwort mosaic virus,10649
173,Pseudoflavonifractor capillosus,106588
174,Bruguiera cylindrica,106616
175,Enterobacteria phage T4,10665
176,Dorstenia psilurus,106723
177,Planes,106761
178,Radix natalensis,106804
179,Enterobacteria phage lambda,10710
180,Linaria genistifolia subsp. dalmatica,1071897
181,Diabrotica balteata,107213
182,Croton sublyratus,107238
183,licorice weed,107240
184,Enterobacteria phage 933W,10730
185,Dalbergia sissoo,107308
186,Pseudoalteromonas ulvae,107327
187,Didemnum,107394
188,Tenacibaculum maritimum,107401
189,Influenza B virus (B/Lee/40),107412
190,Microsphaeropsis,107453
191,Isis,1074817
192,Isis hippuris,1074818
193,Enterobacteria phage T3,10759
194,Enterobacteria phage T7,10760
195,Amaranthus palmeri,107608
196,Acinetobacter calcoaceticus subsp. anitratus,107673
197,Plenodomus tracheiphilus,1077377
198,Barringtonia racemosa,107821
199,Thanatephorus cucumeris,107832
200,Tribulus,1078576
201,Trididemnum solidum,1079459
202,Cadophora malorum,108018
203,Macrophoma,108329
204,Sida spinosa,108380
205,Neoscytalidium dimidiatum,108428
206,Chloranthus multistachys,108430
207,Salmonella enterica subsp. enterica serovar Newport,108619
208,Para spiny rat,108849
209,Mammalian orthoreovirus 3 Dearing,10886
210,Theobroma grandiflorum,108881
211,Inonotus baumii,108892
212,Phellinus tremulae,108899
213,Porodaedalea pini,108901
214,Phellinus ribis,108904
215,Reovirus sp.,10891
216,brown planthopper,108931
217,Alnus firma,109059
218,Alnus japonica,109063
219,Chaerophyllum hirsutum,109101
220,Rotavirus,10912
221,Simian rotavirus,10922
222,Perichaena,1092570
223,Perichaena chrysosperma,1092571
224,Sceptrella,1093061
225,Hemipholiota populnea,109743
226,Mycobacterium tuberculosis str. UT205,1097669
227,Lactobacillus jensenii,109790
228,Macaranga tanarius,109849
229,Rice dwarf virus,10991
230,wild radish,109996
231,Zeuzera pyrina,1101072
232,Guanomyces polythrix,110160
233,Oculimacula acuformis,110162
234,Eastern equine encephalitis virus,11021
235,Ross River virus,11029
236,Semliki forest virus,11033
237,Sindbis virus,11034
238,Venezuelan equine encephalitis virus,11036
239,Venezuelan equine encephalitis virus (strain Trinidad donkey),11038
240,Western equine encephalitis virus,11039
241,Rubella virus,11041
242,Vertebrata lanosa,110463
243,arboviruses group B,11051
244,Dengue virus 1,11053
245,Conoideocrella,1105318
246,Conoideocrella tenuis,1105321
247,Mycobacterium vanbaalenii,110539
248,Dengue virus 2,11060
249,Dengue virus 2 Puerto Rico/PR159-S1/1969,11066
250,Talinum fruticosum,110664
251,Dengue virus 3,11069
252,Prismatomeris tetrandra,110690
253,Dengue virus 4,11070
254,Japanese encephalitis virus,11072
255,Hedychium spicatum,110723
256,Cea,1107390
257,Murray Valley encephalitis virus,11079
258,West Nile virus,11082
259,Powassan virus,11083
260,Tick-borne encephalitis virus,11084
261,Yellow fever virus,11089
262,Yellow fever virus 17D,11090
263,Classical swine fever virus,11096
264,Bovine viral diarrhea virus 1,11099
265,Hepatitis C virus,11103
266,Hepatitis C virus (isolate 1),11104
267,Hepatitis C virus (isolate BK),11105
268,Alternaria alstroemeriae,1111114
269,Hepatitis C virus (isolate Japanese),11116
270,Synechocystis sp. PCC 6803 substr. Kazusa,1111708
271,Coronaviridae,11118
272,Infectious bronchitis virus,11120
273,Brontispa longissima,111217
274,Bovine coronavirus,11128
275,Heterogenea,1113441
276,FIPV,11135
277,Human coronavirus 229E,11137
278,Murine hepatitis virus,11138
279,Murine hepatitis virus strain A59,11142
280,Transmissible gastroenteritis virus,11149
281,Mumps virus,11161
282,Cladosporium phlei,1116209
283,Alectoria sarmentosa,111643
284,blue-green algae,1117
285,Galium spurium,1117032
286,Newcastle disease virus,11176
287,Electron,1118549
288,Sendai virus,11191
289,Crypteronia paniculata,111953
290,Aphanomyces cochlioides,112091
291,Human parainfluenza virus 2,11212
292,Human parainfluenza virus 3,11216
293,Arthrinium,112177
294,Anopheles minimus,112268
295,Canine distemper virus,11232
296,Measles virus,11234
297,Helichrysum odoratissimum,112363
298,Bovine respiratory syncytial virus,11246
299,Ramularia collo-cygni,112498
300,Microcystis,1125
301,Human respiratory syncytial virus,11250
302,Biomphalaria pfeifferi,112525
303,Coniella fragariae,1125743
304,Human respiratory syncytial virus A2,11259
305,Microcystis aeruginosa,1126
306,Vesicular stomatitis virus,11276
307,Vesicular stomatitis Indiana virus,11277
308,Casearia sylvestris,112817
309,Chamaelirium luteum,112831
310,Macrosteles quadripunctulatus,1128428
311,Vesicular stomatitis Indiana virus strain San Juan,11285
312,goji berry,112863
313,gou qi,112883
314,Synechococcus,1129
315,Infectious hematopoietic necrosis virus,11290
316,Rabies virus,11292
317,Flaviporus,1130278
318,Ramaria cystidiophora,113088
319,unidentified influenza virus,11309
320,Sogatella furcifera,113103
321,Fowl plague virus,11313
322,Penicillium brefeldianum,1131482
323,Penicillium aurantiacobrunneum,1131577
324,Talaromyces coalescens,1131645
325,Influenza A virus,11320
326,Pseudocercospora musae,113226
327,Pseudoramibacter alactolyticus,113287
328,Echium plantagineum,113446
329,Thielavia subthermophila,113609
330,Fusarium oxysporum f. gladioli,113634
331,Synechococcus elongatus PCC 7942,1140
332,marsh elder,114188
333,Synechocystis,1142
334,Nigrospora,114230
335,Nigrospora sphaerica,114231
336,Synechocystis sp.,1143
337,Tritrichomonas foetus,1144522
338,Gardenia jasminoides,114476
339,Illicium henryi,114516
340,Aeromonas veronii biovar sobria,114517
341,H2N2 subtype,114729
342,Stylocheilus longicauda,114761
343,Dysidea arenaria,1147784
344,Synechocystis sp. (PCC 6803),1148
345,Xylaria longipes,114818
346,Influenza B virus,11520
347,Pseudanabaena sp.,1153
348,Harmonia axyridis,115357
349,Spirulina <Cyanobacteria>,1154
350,Pythium mamillatum,115418
351,Pythium ultimum var. sporangiiferum,115421
352,Glaucus,1154736
353,Influenza C virus,11552
354,Moorea,1155738
355,La Crosse virus,11577
356,Oscillatoria,1158
357,Punta Toro virus,11587
358,Rift Valley fever virus,11588
359,Rift valley fever virus (STRAIN ZH-548 M12),11589
360,Villosiclava virens,1159556
361,Salmonella enterica subsp. enterica serovar Montevideo,115981
362,Hantaan virus,11599
363,Planktothrix agardhii,1160
364,Prospect Hill virus,11603
365,Sargassum pallidum,116055
366,Suberea,1161115
367,Junin virus,11619
368,Lassa virus,11620
369,Lassa virus Josiah,11622
370,Lymphocytic choriomeningitis virus,11623
371,Lymphocytic choriomeningitis virus (strain Armstrong),11624
372,Hyrtios reticulatus,1162751
373,Pseudoceratina purpurea,1162763
374,Pseudoceratina verrucosa,1162764
375,Spongia irregularis,1162765
376,Suberea clavata,1162767
377,Coscinoderma,1162776
378,Dactylospongia,1162778
379,Dactylospongia elegans,1162779
380,Dactylospongia metachromia,1162780
381,Petrosaspongia,1162788
382,Porphyria,1162790
383,Machupo virus,11628
384,Thorectandra,1162801
385,Anabaena,1163
386,Pichinde virus,11630
387,Euryspongia,1163034
388,Tacaribe virus,11631
389,Retroviridae,11632
390,Simian foamy virus,11642
391,Anabaena cylindrica,1165
392,Dolichospermum flos-aquae,1166
393,Equine infectious anemia virus,11665
394,Feline immunodeficiency virus,11673
395,Human immunodeficiency virus 1,11676
396,Human immunodeficiency virus type 1 BH10,11678
397,Human immunodeficiency virus type 1 (CLONE 12),11679
398,HIV-1 M:B_ARV2/SF2,11685
399,Human immunodeficiency virus type 1 (BRU ISOLATE),11686
400,Human immunodeficiency virus type 1 (SF162 ISOLATE),11691
401,Penicillium decaturense,116971
402,Human immunodeficiency virus type 1 (NEW YORK-5 ISOLATE),11698
403,Human immunodeficiency virus type 1 (RF/HAT ISOLATE),11701
404,Clitocybe nebularis,117024
405,Human immunodeficiency virus type 1 (STRAIN UGANDAN / ISOLATE U455),11703
406,Athalia rosae ruficornis,1170497
407,HIV-1 M:B_HXB2R,11706
408,Anthrax,117078
409,Human immunodeficiency virus 2,11709
410,Fusarium verticillioides,117187
411,Human immunodeficiency virus type 2 (ISOLATE ROD),11720
412,Simian immunodeficiency virus,11723
413,Visna/maedi virus,11741
414,Visna lentivirus (strain 1514),11742
415,Cephalodiscus,117498
416,Cytospora,117544
417,Valsa ceratosperma,117550
418,Mycobacterium frederiksbergense,117567
419,Mouse mammary tumor virus,11757
420,Mirabilis multiflora,117589
421,Aphanizomenon flos-aquae,1176
422,Mouse mammary tumor virus (STRAIN GR),11760
423,Sargassum sagamianum,1176466
424,Nephthea erecta,1176642
425,Feline leukemia virus,11768
426,Nostoc,1177
427,Nostoc commune,1178
428,Crocidolomia,1178244
429,Mea,1178312
430,Murine leukemia virus,11786
431,Abelson murine leukemia virus,11788
432,AKT8 murine leukemia virus,11790
433,Lucifer,117980
434,Nostoc sp.,1180
435,Moloney murine leukemia virus,11801
436,Selenastrum capricornutum,118073
437,Moloney murine sarcoma virus,11809
438,Myxilla incrustans,118321
439,Agrobacterium tumefaciens str. B6,1183423
440,Rhododendron micranthum,118363
441,Rhododendron brachycarpum,118365
442,Polymastia tenax,1183872
443,Penicillata,118559
444,Arthrospira platensis,118562
445,Calothrix,1186
446,Avian myeloblastosis virus,11866
447,Avian sarcoma virus,11876
448,Tussilago farfara,118778
449,Fujinami sarcoma virus,11885
450,Rous sarcoma virus,11886
451,Rous sarcoma virus - Prague C,11888
452,Fischerella,1190
453,Bovine leukemia virus (JAPANESE ISOLATE BLV-1),11907
454,Caldanaerobacter subterraneus subsp. tengcongensis,119072
455,Human T-lymphotropic virus 1,11908
456,Carpesium abrotanoides,119172
457,Inula britannica,119176
458,Pulicaria undulata,119186
459,Cupriavidus metallidurans,119219
460,Human T-cell lymphotrophic virus type 1 (strain ATK),11926
461,cassia-bark,119260
462,Rauscher murine leukemia virus,11938
463,Hippospongia,119430
464,Exanthemachrysis gayraliae,119497
465,Hea,1195100
466,Streptococcus dysgalactiae subsp. equisimilis,119602
467,Arthroderma obtusum,119676
468,Calamus,119695
469,Microchaete diplosiphon,1197
470,Woolly monkey sarcoma virus,11970
471,Petrus,119731
472,Feline calicivirus,11978
473,Phormidium,1198
474,Norwalk virus,11983
475,Francisella tularensis subsp. tularensis,119856
476,Carnation mottle virus,11986
477,Mouriri guianensis,119903
478,Alternaria japonica,119919
479,Alternaria macrospora,119921
480,Alternaria tenuissima,119927
481,Myrtus communis,119949
482,Alternaria chartarum,119957
483,Alisma canaliculatum,120010
484,Phytophthora melonis,120023
485,Fusarium oxysporum f. sp. lini,120040
486,Enterococcus faecalis ATCC 29212,1201292
487,guava,120290
488,Blissus,1202957
489,Fusarium oxysporum f. melongenae,120296
490,Fusarium oxysporum f. sp. niveum,120297
491,Scytonema,1203
492,Chama,120379
493,Discodoris atromaculata,120394
494,Neofusicoccum luteum,120395
495,Cyclina,120565
496,Picornaviridae,12058
497,Enterovirus,12059
498,Echovirus E9,12060
499,Echovirus E6,12062
500,Podocarpus latifolius,120620
501,Enterovirus E,12064
502,Coxsackievirus,12066
503,Human coxsackievirus A9,12067
504,Coxsackievirus A21,12069
505,Human coxsackievirus B1,12071
506,Anoxia,1207117
507,Inca,1207154
508,Human coxsackievirus B3,12072
509,Human coxsackievirus B4,12073
510,Human coxsackievirus B5,12074
511,Echovirus E11,12078
512,Mycobacterium avium complex (MAC),120793
513,Human poliovirus 1,12080
514,Human poliovirus 1 Mahoney,12081
515,Human poliovirus 1 strain Sabin,12082
516,Human poliovirus 2,12083
517,Human poliovirus 3,12086
518,Coxsackievirus A24,12089
519,Human enterovirus 70,12090
520,Hepatitis A virus,12092
521,Diaphania hyalinata,1209549
522,Nocardia abscessus,120957
523,Encephalomyocarditis virus,12104
524,Mengo virus,12107
525,Cassytha filiformis,121073
526,Foot-and-mouth disease virus,12110
527,Aphanoascus terreus,121129
528,Foot-and-mouth disease virus (strain A12),12114
529,Foot-and-mouth disease virus - type O,12118
530,human head louse,121226
531,Human rhinovirus 1B,12129
532,Human rhinovirus A2,12130
533,Human rhinovirus B14,12131
534,Human rhinovirus A89,12132
535,Human rhinovirus 1A,12134
536,Maize chlorotic mottle virus,12138
537,Diaporthe ampelina,1214573
538,Aplysina,121476
539,Streptocarpus dunnii,121487
540,Spongia,121489
541,elephant ear sponge,121490
542,Corticium,121491
543,Thorectidae,121495
544,Rumex confertus,1215406
545,Penicillium janczewskii,121612
546,Phyllosticta,121621
547,Phyllosticta capitalensis,121624
548,Carnation latent virus,12164
549,Symmetrischema tangolias,1216959
550,Paracoccidioides brasiliensis,121759
551,Digitaria sanguinalis,121769
552,Japanese barnyard millet,121770
553,Nipah virus,121791
554,Encarsia inaron,121801
555,Potato virus X,12183
556,Diaphorina citri,121845
557,Lettuce mosaic virus,12202
558,Amphibalanus improvisus,1220549
559,Pepper mottle virus,12209
560,Ancistrocladus abbreviatus,122295
561,Cercospora beticola,122368
562,purple photosynthetic bacteria and relatives,1224
563,Tobacco mosaic virus,12242
564,Neisseria meningitidis MC58,122586
565,Clonostachys rogersoniana,122658
566,Philinopsis speciosa,1226721
567,Carnation ringspot virus,12268
568,leaf-rolling weevils,122737
569,Fusarium oxysporum f. sp. cubense race 4,1229665
570,Alternaria humicola,1232597
571,Alternaria kikuchiana,1232598
572,Amphibalanus amphitrite,1232801
573,Rice stripe virus,12331
574,Hyaloperonospora parasitica,123356
575,Denhamia celastroides,123412
576,Pleurostylia opposita,123450
577,Acorus tatarinowii,123564
578,Gammaproteobacteria,1236
579,Lessonia <Aves>,123642
580,Madracis myriaster,123771
581,Thielaviopsis basicola,124036
582,Discula,124132
583,Leuconostoc,1243
584,Dialysis,124307
585,Cantagalo virus,124313
586,Emesis,124370
587,Sesquicillium microsporum,124425
588,Ustilaginoidea,124426
589,Leuconostoc mesenteroides,1245
590,Hypalocrinus,1245193
591,Hypalocrinus naresianus,1245194
592,Borna disease virus,12455
593,Hepatitis E virus,12461
594,Hepatitis delta virus,12475
595,Amaranthus blitum subsp. oleraceus,124762
596,rough pigweed,124763
597,Amaranthus spinosus,124765
598,Illicium difengpium,124772
599,Kadsura angustifolia,124779
600,Kadsura coccinea,124780
601,Kadsura heteroclita,124781
602,Kadsura longipedunculata,124782
603,Schisandra glaucescens,124787
604,Schisandra grandiflora,124788
605,Schisandra propinqua,124790
606,Schisandra rubriflora,124791
607,Centaurea diffusa,124929
608,Azadirachta indica,124943
609,Cyperus microiria,1249730
610,Cyperus serotinus,1249733
611,Epstein-Barr virus type 2,12509
612,sharp-leaf galangal,125261
613,Pediococcus,1253
614,Neophaeosphaeria quadriseptata,125377
615,Omsk hemorrhagic fever virus,12542
616,Maladera castanea,1254970
617,Peptostreptococcus,1257
618,Peptoniphilus asaccharolyticus,1258
619,Finegoldia magna,1260
620,Peptostreptococcus anaerobius,1261
621,Peptostreptococcus sp.,1262
622,Ruminococcus,1263
623,Colletotrichum gossypii,1263198
624,Syringa reticulata,126367
625,Dengue virus,12637
626,Betacoronavirus England 1,1263720
627,Providencia alcalifaciens,126385
628,Duck hepatitis B virus,12639
629,Ruminococcus albus,1264
630,Forsythia suspensa,126418
631,Lantana camara,126435
632,Ruminococcus flavefaciens,1265
633,Sarcina,1266
634,Symphonia,1266145
635,Feline coronavirus,12663
636,Talaromyces purpureogenus,1266744
637,Gyrophyllum sibogae,1267065
638,Alertigorgia,1267117
639,Klebsiella pneumoniae hvKP1,1267897
640,Senna occidentalis,126820
641,Micrococcus,1269
642,gooseberry-tomato,126903
643,Ikeda,1269045
644,Vassobia breviflora,126907
645,Withania somnifera,126910
646,Micrococcus luteus,1270
647,Sphaerotheca,127028
648,Micrococcus sp.,1271
649,Syncope,1271638
650,Human immunodeficiency virus,12721
651,Memphis,127271
652,Micrococcus lylae,1273
653,Human parainfluenza virus 1,12730
654,Bia,127307
655,Panacea,127360
656,Vila,127372
657,Infectious flacherie virus,12742
658,Sargassum serratifolium,127450
659,Kocuria rosea,1275
660,Sargassum siliquastrum,127572
661,Ethiopia Peters frog,127645
662,Staphylococcus,1279
663,Vibrio cholerae O1,127906
664,Anthemis maritima,127979
665,Staphylococcus aureus,1280
666,Staphylococcus carnosus,1281
667,Lentzea violacea,128104
668,Aphis medicaginis,1281368
669,Respiratory syncytial virus,12814
670,Phormidium autumnale,128152
671,Staphylococcus epidermidis,1282
672,Chimarrhis turbinata,128292
673,Staphylococcus haemolyticus,1283
674,Hintonia standleyana,128316
675,Uncaria tomentosa,128375
676,Staphylococcus hyicus,1284
677,Talaromyces pittii,128440
678,Talaromyces pinophilus,128442
679,Swine influenza virus,12845
680,Phos,128483
681,Staphylococcus intermedius,1285
682,Portieria hornemanii,128534
683,Staphylococcus simulans,1286
684,Cinnamomum verum,128608
685,Cryptocarya chinensis,128609
686,Lindera umbellata,128640
687,Theta,1286490
688,Staphylococcus xylosus,1288
689,Spilarctia obliqua,1288830
690,"Ebola virus - Mayinga, Zaire, 1976",128952
691,Staphylococcus hominis,1290
692,Julica,1290180
693,Trematodes,1290878
694,Trichosporon dermatis,129132
695,Ufo,1291723
696,Staphylococcus warneri,1292
697,Ipomoea grandifolia,129204
698,Polytrichastrum alpinum,129212
699,Staphylococcus gallinarum,1293
700,Glomerella tucumanensis,129314
701,Geobacillus,129337
702,Phytophthora katsurae,129354
703,Phytophthora porri,129359
704,Ochrolechia parella,129506
705,Trapeliopsis granulosa,129519
706,pawpaw,12953
707,Clavigralla tomentosicollis,1295332
708,Anticarsia,129553
709,Anticarsia gemmatalis,129554
710,Amphitrite ornata,129555
711,leaf cutting ants,12956
712,Axinella,12958
713,Staphylococcus sciuri,1296
714,Bathymodiolus thermophilus,12966
715,Sphaerostilbella broomeana,129729
716,Psoroptes cuniculi,129836
717,Deinococcus radiodurans,1299
718,Ceratocystis paradoxa,13001
719,Chloranthus japonicus,13007
720,Streptococcus,1301
721,Lophophora diffusa,130137
722,Codakia orbicularis,13016
723,Streptococcus gordonii,1302
724,Streptococcus oralis,1303
725,Piper aduncum,130377
726,Streptococcus salivarius,1304
727,West Indian weevil,13040
728,kava,130404
729,Piper retrofractum,130414
730,Aegilops cylindrica,130456
731,Streptococcus sanguinis,1305
732,Streptococcus sp.,1306
733,Antillogorgia acerosa,1306265
734,Fuchsia,13069
735,Streptococcus suis,1307
736,Streptococcus salivarius thermophilus,1308
737,Streptococcus mutans,1309
738,Streptococcus sobrinus,1310
739,Anomala orientalis,1310277
740,Tetra,1310384
741,Lissoclinum,13109
742,Streptococcus agalactiae,1311
743,Lissoclinum patella,13110
744,Actinomyces turicensis,131111
745,primrose-willow,13118
746,gypsy moth,13123
747,Streptococcus pneumoniae,1313
748,Perilla,1313341
749,Streptococcus pyogenes,1314
750,Alticini,131578
751,Aulacophora,131591
752,Myzus persicae,13164
753,Dichothrix,1316747
754,Dichothrix baueriana,1316775
755,Streptococcus parasanguinis,1318
756,Streptococcus sp. 'group B',1319
757,Pectinophora gossypiella,13191
758,Pemphigus,13192
759,Cercospora canescens,132095
760,Exserohilum rostratum,132102
761,Lecanicillium antillanum,132115
762,Pochonia suchlasporia,132136
763,Acrostalagmus luteoalbus,132138
764,Piper nigrum,13216
765,Nocardia veterana,132249
766,Pseudococcus affinis,13232
767,Unidentified Influenza A virus (H1N1),1323429
768,Calopogonium mucunoides,132433
769,Millettia pulchra,132451
770,Pueraria montana,132459
771,Streptomyces alboniger,132473
772,Influenza A virus (A/X-31(H3N2)),132504
773,Eclipta <beetle>,1325150
774,Boletus roseoflavus,1325616
775,Saururus cernuus,13260
776,Schizaphis graminum,13262
777,Alicia,1326982
778,Stellaria media,13274
779,Streptococcus anginosus,1328
780,Thlaspi arvense,13288
781,Cinnamosma madagascariensis,132965
782,Tuberculatus,133114
783,Acalymma vittatum,133117
784,Otanthus maritimus,133239
785,Achillea millefolium,13329
786,soursop,13337
787,Streptococcus dysgalactiae,1334
788,lined sea star,133437
789,Citrobacter youngae,133448
790,Ardisia crenata,13345
791,Mexicana,1334743
792,Arthrobotrys,13348
793,Osca,1334961
794,Streptococcus equinus,1335
795,Middle East respiratory syndrome coronavirus,1335626
796,Briareum excavatum,1335667
797,Streptococcus equi,1336
798,Spongia pertusa,1336825
799,Chondrosia corticata,1336847
800,Luffariella geometrica,1336870
801,Phorbas amaranthus,1336879
802,Candidaspongia,1336906
803,Homophymia,1336924
804,Jaspis,1336932
805,Hamigera <sponge>,1336954
806,Burkholderia mallei,13373
807,Streptococcus intermedius,1338
808,western flower thrips,133901
809,Conidiobolus paulus,1342296
810,succory,13427
811,Streptococcus vestibularis,1343
812,Leucania,134393
813,Spodoptera exempta,134406
814,Coffea arabica,13443
815,Gersemia fruticosa,134440
816,Corylus avellana,13451
817,Phoma destructiva,134531
818,Zyzzya fuliginosa,1346156
819,Dactylia,1346157
820,Psammoclema,1346159
821,Cupressus sempervirens,13469
822,Cylindrocarpon,13474
823,Ureaplasma parvum,134821
824,Bacillus megaterium NBRC 15308 = ATCC 14581,1348623
825,European seabass,13489
826,Streptococcus uberis,1349
827,Calycopteris floribunda,134915
828,Enterococcus,1350
829,Enterococcus faecalis,1351
830,Enterococcus faecium,1352
831,Antillogorgia elisabethae,1352039
832,Euptelea polyandra,13523
833,Podosphaera xanthii,135283
834,Enterococcus gallinarum,1353
835,Enterococcus hirae,1354
836,Eremophila <Aves>,135429
837,Bacillus subtilis subsp. subtilis,135461
838,Gerbera jamesonii,13547
839,Glomerella <ascomycete fungus>,13548
840,Nocardia cyriacigeorgica,135487
841,Histomonas meleagridis,135588
842,Phellinus weirii,135589
843,Heterobasidion annosum,13563
844,Coniothyrium cereale,135650
845,goldenseal,13569
846,lactic streptococci,1357
847,Hypoestes forskaolii,13571
848,Bacillus endophyticus,135735
849,common rush,13579
850,Lactococcus lactis,1358
851,Kalmia buxifolia,13585
852,Alternaria citri,135859
853,Lactococcus lactis lactis,1360
854,Dolichospermum compactum,136073
855,Gaussia <copepod>,136202
856,Curcuma aeruginosa,136205
857,Curcuma kwangsiensis,136216
858,Curcuma longa,136217
859,Curcuma phaeocaulis,136218
860,Curcuma xanthorrhiza,136222
861,Lactococcus garvieae,1363
862,Lucilia sericata,13632
863,Delphinium viridescens,136343
864,Lactococcus plantarum,1365
865,Ophiocoma scolopendrina,1365868
866,Phoradendron vernicosum,136782
867,Parastagonospora nodorum,13684
868,Sphingomonas paucimobilis,13689
869,Data,1369087
870,Dicyma,136933
871,Archaster typicus,136937
872,Mediaster,136943
873,Syncephalastrum,13705
874,Syncephalastrum racemosum,13706
875,marigolds,13707
