GENE_ID,GENE_NAME,UMLS_ID,UMLS_NAME,UNIPROT_GENE_NAME,NCBI_GENE_ID
280,dnaaf4,,,dnaaf4,
281,fbpa,,,fbpa,
282,"ALOX15 protein, human| ALOX15 gene",C1869577,"ALOX15 protein, human| ALOX15 gene",,
283,Candidate Disease Gene,C1332838,Candidate Disease Gene,,
284,kiaa0287,,,kiaa0287,
285,pks3,,,pks3,
286,VTRNA1-1 gene,C1421429,VTRNA1-1 gene,,
287,id2,,,id2,
288,prkcsh,,,prkcsh,
289,ffar1,,,ffar1,
290,magoh,,,magoh,
291,psba2,,,psba2,
292,gnal,,,gnal,
293,tjp2,,,tjp2,
294,foxk1,,,foxk1,
295,atf6,,,atf6,
296,uu506,,,uu506,
297,slc6a7,,,slc6a7,
298,blon_2468,,,blon_2468,
299,dpo3,,,dpo3,
300,ccf-1,,,ccf-1,
301,amuc_0017,,,amuc_0017,
302,bmul_0077,,,bmul_0077,
303,rnf167,,,rnf167,
304,bsc3,,,bsc3,
305,patf,,,patf,
306,vrte,,,vrte,
307,map_4146,,,map_4146,
308,mtf1,,,mtf1,
309,,,,,1934
310,cxcl13,,,cxcl13,
311,at1g19340,,,at1g19340,
312,tasc,,,tasc,
313,foxred1,,,foxred1,
314,commd1,,,commd1,
315,prlc,,,prlc,
316,chst8,,,chst8,
317,bcg_1280c,,,bcg_1280c,
318,fdxacb1,,,fdxacb1,
319,"Bombesin Receptor| GRPR protein, human| GRPR gene| Neuromedin-B Receptor, Human| NMBR gene",C0053917,"Bombesin Receptor| GRPR protein, human| GRPR gene| Neuromedin-B Receptor, Human| NMBR gene",,
320,Huntingtin Protein,C4255255,Huntingtin Protein,,
321,trdmt1,,,trdmt1,
322,aarsd1,,,aarsd1,
323,accd5,,,accd5,
324,spac977.03,,,spac977.03,
325,ydaf,,,ydaf,
326,N-benzoyl-L-tyrosine,C0614363,N-benzoyl-L-tyrosine,,
327,orm1,,,orm1,
328,mlch,,,mlch,
329,kcnk5,,,kcnk5,
330,xrn2,,,xrn2,
331,fan1,,,fan1,
332,slc26a1,,,slc26a1,
333,myl10,,,myl10,
334,Prostaglandin E2| dinoprostone,C3813211,Prostaglandin E2| dinoprostone,,
335,pika,,,pika,
336,hippuryl-histidyl-leucine,C0062727,hippuryl-histidyl-leucine,,
337,znf197,,,znf197,
338,erg6,,,erg6,
339,tob2,,,tob2,
340,melatonin| procarbazine| MALT1 gene,C0025219,melatonin| procarbazine| MALT1 gene,,
341,phz_c0077,,,phz_c0077,
342,sa2266,,,sa2266,
343,mrpl58,,,mrpl58,
344,syne1,,,syne1,
345,"Tryptophan-tRNA Ligase| WARS1 gene| WARS2 protein, human",C0041261,"Tryptophan-tRNA Ligase| WARS1 gene| WARS2 protein, human",,
346,rbpj,,,rbpj,
347,dio1,,,dio1,
348,hsd3b2,,,hsd3b2,
349,sas0844,,,sas0844,
350,copb1,,,copb1,
351,htba,,,htba,
352,dkfzp686g01261,,,dkfzp686g01261,
353,sfswap,,,sfswap,
354,Penicillin-Binding Protein 2,C0135892,Penicillin-Binding Protein 2,,
355,p24,,,p24,
356,aer1,,,aer1,
357,xgoat4,,,xgoat4,
358,trim51,,,trim51,
359,cbh,,,cbh,
360,msed_0700,,,msed_0700,
361,lsamp,,,lsamp,
362,guca2a,,,guca2a,
363,vrta,,,vrta,
364,bn863_22230,,,bn863_22230,
365,andh,,,andh,
366,ty1b-bl,,,ty1b-bl,
367,eipr1,,,eipr1,
368,gsfd,,,gsfd,
369,ift57,,,ift57,
370,myelin proteolipid protein (139-151),C0291737,myelin proteolipid protein (139-151),,
371,spac26f1.07,,,spac26f1.07,
372,fbxw10,,,fbxw10,
373,ceacam21,,,ceacam21,
374,erlin2,,,erlin2,
375,ura6,,,ura6,
376,his-46,,,his-46,
377,rpl12,,,rpl12,
378,beta-lactamase GES-2,C1097444,beta-lactamase GES-2,,
379,acp7,,,acp7,
380,apln,,,apln,
381,mfla_2317,,,mfla_2317,
382,dinoprostone| Prostaglandin E2,C0012472,dinoprostone| Prostaglandin E2,,
383,osh6,,,osh6,
384,grhpr,,,grhpr,
385,tars3,,,tars3,
386,klhl40,,,klhl40,
387,ghb1,,,ghb1,
388,kcr2,,,kcr2,
389,pc-21,,,pc-21,
390,aoc1,,,aoc1,
391,"Tetradecanoylphorbol Acetate| alteplase| PLAT protein, human",C0032143,"Tetradecanoylphorbol Acetate| alteplase| PLAT protein, human",,
392,rag5,,,rag5,
393,rnd3,,,rnd3,
394,aas,,,aas,
395,sor2,,,sor2,
396,thie,,,thie,
397,sasp-1,,,sasp-1,
398,"HSP40 Heat-Shock Proteins| DNAJB1 gene| DNAJB1 wt Allele| DNAJB1 protein, human",C0058610,"HSP40 Heat-Shock Proteins| DNAJB1 gene| DNAJB1 wt Allele| DNAJB1 protein, human",,
399,gtse1,,,gtse1,
400,vsig1,,,vsig1,
401,slc5a2,,,slc5a2,
402,1.Oct,,,1.Oct,
403,ccnf,,,ccnf,
404,lrrc15,,,lrrc15,
405,Subtilisin Carlsberg,C0038597,Subtilisin Carlsberg,,
406,gja4,,,gja4,
407,nt5dc3,,,nt5dc3,
408,pd_1980,,,pd_1980,
409,trim39,,,trim39,
410,sfrb,,,sfrb,
411,anxa6,,,anxa6,
412,ctbs2,,,ctbs2,
413,his1:cg33831,,,his1:cg33831,
414,jak2,,,jak2,
415,thsd1,,,thsd1,
416,cyp7a1,,,cyp7a1,
417,gcnt3,,,gcnt3,
418,gbs0613,,,gbs0613,
419,agtr2,,,agtr2,
420,rpl41a,,,rpl41a,
421,spcc11e10.09c,,,spcc11e10.09c,
422,apbb3,,,apbb3,
423,abga,,,abga,
424,ydcs,,,ydcs,
425,rpn2,,,rpn2,
426,chemokine,C0282554,chemokine,,
427,nipa1,,,nipa1,
428,Glucosaminidases,C0017724,Glucosaminidases,,
429,alad,,,alad,
430,akr1b1,,,akr1b1,
431,lpin1,,,lpin1,
432,tbc1d8,,,tbc1d8,
433,or2ak2,,,or2ak2,
434,,,,,2630
435,PTEN wt Allele| PTEN gene,C1705310,PTEN wt Allele| PTEN gene,,
436,serpinb2,,,serpinb2,
437,yxjb,,,yxjb,
438,ctht_0048590,,,ctht_0048590,
439,dmac2,,,dmac2,
440,wapl,,,wapl,
441,ddx19a,,,ddx19a,
442,znf251,,,znf251,
443,c11orf24,,,c11orf24,
444,str3,,,str3,
445,rala,,,rala,
446,ephd,,,ephd,
447,sto1,,,sto1,
448,gc,,,gc,
449,stk33,,,stk33,
450,d4s234e,,,d4s234e,
451,fech,,,fech,
452,cnnm1,,,cnnm1,
453,zup1,,,zup1,
454,otx2,,,otx2,
455,"thyrotropin-releasing hormone| TRH gene| Thyrotropin-Releasing Hormone, human| TERF1 gene",C0040162,"thyrotropin-releasing hormone| TRH gene| Thyrotropin-Releasing Hormone, human| TERF1 gene",,
456,itga3,,,itga3,
457,map1b,,,map1b,
458,plce1,,,plce1,
459,tgoln2,,,tgoln2,
460,yhhx,,,yhhx,
461,"CSNK2A1 protein, human| Casein Kinase II| CSNK2A1 gene",C3490418,"CSNK2A1 protein, human| Casein Kinase II| CSNK2A1 gene",,
462,slc10a6,,,slc10a6,
463,pik4ca variant protein,,,pik4ca variant protein,
464,casp10,,,casp10,
465,mrpl38,,,mrpl38,
466,trea,,,trea,
467,plek,,,plek,
468,gyg1,,,gyg1,
469,beta-lactamase TEM-10,C0248859,beta-lactamase TEM-10,,
470,aspn,,,aspn,
471,saha,,,saha,
472,mtdh,,,mtdh,
473,fcer1a,,,fcer1a,
474,rsm22,,,rsm22,
475,nischarin| NISCH wt Allele,C3540559,nischarin| NISCH wt Allele,,
476,spa,,,spa,
477,c18orf54,,,c18orf54,
478,dnaaf6,,,dnaaf6,
479,Proto-Oncogene Proteins c-pim-1,C0072476,Proto-Oncogene Proteins c-pim-1,,
480,pp_0862,,,pp_0862,
481,hxk6,,,hxk6,
482,fgf5b,,,fgf5b,
483,vps18,,,vps18,
484,stk40,,,stk40,
485,gpr146,,,gpr146,
486,slc9a1,,,slc9a1,
487,usp25,,,usp25,
488,gamma-glutamyl carboxylase,C0061495,gamma-glutamyl carboxylase,,
489,oble,,,oble,
490,eupd,,,eupd,
491,h2ac7,,,h2ac7,
492,iqsec1,,,iqsec1,
493,clcnka,,,clcnka,
494,f8a3,,,f8a3,
495,grm8,,,grm8,
496,aup1,,,aup1,
497,,,,,2933
498,mtxa,,,mtxa,
499,ptad,,,ptad,
500,oatwy,,,oatwy,
501,smu_788,,,smu_788,
502,tnfsf15,,,tnfsf15,
503,Very low density lipoprotein,C0023825,Very low density lipoprotein,,
504,F 372,C0292995,F 372,,
505,arsg,,,arsg,
506,arhgef12,,,arhgef12,
507,havcr2,,,havcr2,
508,pksg5,,,pksg5,
509,igip,,,igip,
510,krt80,,,krt80,
511,pfkfb3,,,pfkfb3,
512,stk32a,,,stk32a,
513,snog_12761,,,snog_12761,
514,nip,,,nip,
515,ausi,,,ausi,
516,mgst1,,,mgst1,
517,sav1176,,,sav1176,
518,dopamine D4 receptor,C0114835,dopamine D4 receptor,,
519,cirbp,,,cirbp,
520,lypla2,,,lypla2,
521,"APEX1 gene| APEX1 wt Allele| APEX1 protein, human| HAP1 gene| DNA-(apurinic or apyrimidinic site) lyase| OGG1 protein, human| TFPI2 gene",C0140145,"APEX1 gene| APEX1 wt Allele| APEX1 protein, human| HAP1 gene| DNA-(apurinic or apyrimidinic site) lyase| OGG1 protein, human| TFPI2 gene",,
522,Glucocorticoids,C0017710,Glucocorticoids,,
523,clag,,,clag,
524,csnk2a2,,,csnk2a2,
525,bpgm,,,bpgm,
526,lcsk,,,lcsk,
527,usp8,,,usp8,
528,krt86,,,krt86,
529,,,,,3130
530,ppp1r14c,,,ppp1r14c,
531,st3gal4,,,st3gal4,
532,vegfd,,,vegfd,
533,polb,,,polb,
534,arhgef19,,,arhgef19,
535,rv0145,,,rv0145,
536,spin2b,,,spin2b,
537,"Hypoxia-Inducible Factor 1| HIF1A wt Allele| SETD2 wt Allele| HIF1A gene| SETD2 gene| Histone-Lysine N-Methyltransferase SETD2, Human",C0215848,"Hypoxia-Inducible Factor 1| HIF1A wt Allele| SETD2 wt Allele| HIF1A gene| SETD2 gene| Histone-Lysine N-Methyltransferase SETD2, Human",,
538,crop,,,crop,
539,pdc,,,pdc,
540,paep,,,paep,
541,ccdc40,,,ccdc40,
542,thoc2,,,thoc2,
543,nabp2,,,nabp2,
544,adgrg1,,,adgrg1,
545,Extracellular Matrix Proteins,C0079323,Extracellular Matrix Proteins,,
546,tusc2,,,tusc2,
547,sst,,,sst,
548,hspa9,,,hspa9,
549,xpnpep1,,,xpnpep1,
550,bzte,,,bzte,
551,kappa-Caseins,C0022512,kappa-Caseins,,
552,ml2020,,,ml2020,
553,gadd45g,,,gadd45g,
554,cst7,,,cst7,
555,cbei_4037,,,cbei_4037,
556,csnk1g1,,,csnk1g1,
557,hel-s-21,,,hel-s-21,
558,linj_16_0320,,,linj_16_0320,
559,apcs,,,apcs,
560,"DICER1 wt Allele| DICER1 protein, human",C1707615,"DICER1 wt Allele| DICER1 protein, human",,
561,creb5,,,creb5,
562,Recombinant Proteins,C0034861,Recombinant Proteins,,
563,ly6g5b,,,ly6g5b,
564,vwa2,,,vwa2,
565,spap32a8.02,,,spap32a8.02,
566,cglo_15145,,,cglo_15145,
567,nalcn,,,nalcn,
568,,,,,3343
569,stath,,,stath,
570,jmjd6-b,,,jmjd6-b,
571,rara,,,rara,
572,nanp,,,nanp,
573,vlma,,,vlma,
574,cox6a2,,,cox6a2,
575,mab_4607c,,,mab_4607c,
576,NAB 7061 peptide,C2744853,NAB 7061 peptide,,
577,czco,,,czco,
578,enod3,,,enod3,
579,plxdc2,,,plxdc2,
580,,,,,3438
581,spns2,,,spns2,
582,dkfzp586c1324,,,dkfzp586c1324,
583,his-27,,,his-27,
584,slc27a6,,,slc27a6,
585,pik3cd,,,pik3cd,
586,st7l,,,st7l,
587,metk-2,,,metk-2,
588,,,,,3494
589,gbe1,,,gbe1,
590,,,,,3497
591,,,,,3500
592,,,,,3501
593,,,,,3502
594,elf2,,,elf2,
595,Protomers,C1136161,Protomers,,
596,il31ra,,,il31ra,
597,gcm2,,,gcm2,
598,lic_10249,,,lic_10249,
599,pcdha6,,,pcdha6,
600,tspan6,,,tspan6,
601,pacsin1,,,pacsin1,
602,dkfzp666d193,,,dkfzp666d193,
603,ykl107w,,,ykl107w,
604,nsrs,,,nsrs,
605,amuc_0920,,,amuc_0920,
606,prkacb,,,prkacb,
607,eif5al1,,,eif5al1,
608,ephb2,,,ephb2,
609,grb7,,,grb7,
610,mpc1,,,mpc1,
611,erg10,,,erg10,
612,ube2h,,,ube2h,
613,prr16,,,prr16,
614,CDC-like kinase 3| CLK3 gene,C0390942,CDC-like kinase 3| CLK3 gene,,
615,relb,,,relb,
616,Diazooxonorleucine,C0012020,Diazooxonorleucine,,
617,beta-lactamase CMY-2,C0532996,beta-lactamase CMY-2,,
618,chordc1,,,chordc1,
619,mgat4b,,,mgat4b,
620,ypka,,,ypka,
621,havcr1,,,havcr1,
622,Nuclear LIM Interactor-Interacting Factor 2,C1335071,Nuclear LIM Interactor-Interacting Factor 2,,
623,his1:cg33822,,,his1:cg33822,
624,psma5,,,psma5,
625,gm19645,,,gm19645,
626,marf1,,,marf1,
627,adrb2,,,adrb2,
628,gsta3,,,gsta3,
629,rgs7,,,rgs7,
630,Procaspase-8,C0913626,Procaspase-8,,
631,ppp3cc,,,ppp3cc,
632,mydgf,,,mydgf,
633,slc16a4,,,slc16a4,
634,msmeg_6073,,,msmeg_6073,
635,klng,,,klng,
636,tif1,,,tif1,
637,rpl2a,,,rpl2a,
638,nfkbiz,,,nfkbiz,
639,follicle stimulating hormone,C0733758,follicle stimulating hormone,,
640,ephx2,,,ephx2,
641,sol2,,,sol2,
642,baz2a,,,baz2a,
643,epac,,,epac,
644,vit,,,vit,
645,cyp2b1,,,cyp2b1,
646,krtap10-12,,,krtap10-12,
647,if1ib1,,,if1ib1,
648,madcam1,,,madcam1,
649,ipp,,,ipp,
650,cotl1,,,cotl1,
651,benzyloxycarbonyl-phenylalanylarginine-4-methylcoumaryl-7-amide,C0054677,benzyloxycarbonyl-phenylalanylarginine-4-methylcoumaryl-7-amide,,
652,tex47,,,tex47,
653,yoga,,,yoga,
654,rps6,,,rps6,
655,cyp3,,,cyp3,
656,map3k13,,,map3k13,
657,xylb,,,xylb,
658,mylk,,,mylk,
659,"Insulin, Beef",C0304866,"Insulin, Beef",,
660,rasd2,,,rasd2,
661,bnip3,,,bnip3,
662,Human Papilloma Virus Vaccine,C1512511,Human Papilloma Virus Vaccine,,
663,tp53tg3,,,tp53tg3,
664,f1pep1,,,f1pep1,
665,prkd2,,,prkd2,
666,trypticase-soy broth,C0147084,trypticase-soy broth,,
667,gg11016,,,gg11016,
668,xpo7,,,xpo7,
669,kre33,,,kre33,
670,at3g58140,,,at3g58140,
671,s100a9,,,s100a9,
672,Anti-claudin18.2 Monoclonal Antibody LM-102,C5666902,Anti-claudin18.2 Monoclonal Antibody LM-102,,
673,rpl19b,,,rpl19b,
674,stoml3,,,stoml3,
675,nup43,,,nup43,
676,Depsipeptides,C0796678,Depsipeptides,,
677,lce4a,,,lce4a,
678,abo_1734,,,abo_1734,
679,rca1,,,rca1,
680,spsa,,,spsa,
681,cholecystokinin (26-33),C0055494,cholecystokinin (26-33),,
682,Tyrosine Hydroxylase Inhibitor,C1519723,Tyrosine Hydroxylase Inhibitor,,
683,lamp1,,,lamp1,
684,dkfzp451j023,,,dkfzp451j023,
685,rhno1,,,rhno1,
686,r3hdm1,,,r3hdm1,
687,nita,,,nita,
688,npc1l1,,,npc1l1,
689,kat6b,,,kat6b,
690,Histone H3 Lysine 4,C3829685,Histone H3 Lysine 4,,
691,lratd2,,,lratd2,
692,hbs1l,,,hbs1l,
693,padg_08265,,,padg_08265,
694,desal_0805,,,desal_0805,
695,mra_0232,,,mra_0232,
696,nuca,,,nuca,
697,hecw2,,,hecw2,
698,nudt1,,,nudt1,
699,atp6v1e2,,,atp6v1e2,
700,braf,,,braf,
701,gm13608,,,gm13608,
702,fhl1,,,fhl1,
703,lat2,,,lat2,
704,bub1,,,bub1,
705,ppp1r14a,,,ppp1r14a,
706,atp1b1,,,atp1b1,
707,ankdd1b,,,ankdd1b,
708,asf1a,,,asf1a,
709,zc3hdc1,,,zc3hdc1,
710,alpg,,,alpg,
711,alxa,,,alxa,
712,rpob2,,,rpob2,
713,vigabatrin,C0048044,vigabatrin,,
714,bik,,,bik,
715,axin2,,,axin2,
716,six6os1,,,six6os1,
717,fenf,,,fenf,
718,ao1,,,ao1,
719,rnase12,,,rnase12,
720,itgb3,,,itgb3,
721,reck,,,reck,
722,hoxb2,,,hoxb2,
723,nop2c,,,nop2c,
724,Glycogen Phosphorylase,C0917785,Glycogen Phosphorylase,,
725,ccnd2,,,ccnd2,
726,hoxb8,,,hoxb8,
727,spry1,,,spry1,
728,pc1544,,,pc1544,
729,pop4,,,pop4,
730,mvan_5337,,,mvan_5337,
731,elpc-3,,,elpc-3,
732,flt3,,,flt3,
733,h4c2,,,h4c2,
734,pspa7_3453,,,pspa7_3453,
735,mdm2,,,mdm2,
736,aara,,,aara,
737,rps6a,,,rps6a,
738,nr1i3,,,nr1i3,
739,rps9a,,,rps9a,
740,amt3,,,amt3,
741,clptm1l,,,clptm1l,
742,oli1,,,oli1,
743,,,,,4500
744,rv3037c,,,rv3037c,
745,myo1g,,,myo1g,
746,adam10,,,adam10,
747,sa2311,,,sa2311,
748,pxdn,,,pxdn,
749,sfm1,,,sfm1,
